Counties,Population ,Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability - Score,Social Vulnerability - Rating,Social Vulnerability - State Percentile,Coastal Flooding - Exposure - Impacted Area (sq mi),Coastal Flooding - Exposure - Building Value,Coastal Flooding - Exposure - Population,Coastal Flooding - Exposure - Population Equivalence,Coastal Flooding - Exposure - Total,Coastal Flooding - Historic Loss Ratio - Total Rating,Coastal Flooding - Expected Annual Loss - Building Value,Coastal Flooding - Expected Annual Loss - Total,Coastal Flooding - Expected Annual Loss Score,Coastal Flooding - Expected Annual Loss Rating,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Hurricane - Number of Events,Hurricane - Exposure - Impacted Area (sq mi),Hurricane - Exposure - Building Value,Hurricane - Exposure - Population,Hurricane - Historic Loss Ratio - Total Rating,Hurricane - Expected Annual Loss - Building Value,Hurricane - Expected Annual Loss - Population Equivalence,Hurricane - Expected Annual Loss - Agriculture Value,Hurricane - Expected Annual Loss - Total,Hurricane - Expected Annual Loss Score,Hurricane - Expected Annual Loss Rating,Hurricane - Expected Annual Loss Rate - National Percentile,Riverine Flooding - Number of Events,Riverine Flooding - Exposure - Impacted Area (sq mi),Riverine Flooding - Exposure - Building Value,Riverine Flooding - Exposure - Population,Riverine Flooding - Exposure - Population Equivalence,Riverine Flooding - Exposure - Agriculture Value,Riverine Flooding - Exposure - Total,Riverine Flooding - Historic Loss Ratio - Total Rating,Riverine Flooding - Expected Annual Loss - Building Value,Riverine Flooding - Expected Annual Loss - Population Equivalence,Riverine Flooding - Expected Annual Loss - Agriculture Value,Riverine Flooding - Expected Annual Loss - Total,Riverine Flooding - Expected Annual Loss Score,Riverine Flooding - Expected Annual Loss Rating,Riverine Flooding - Expected Annual Loss Rate - National Percentile,Tornado - Number of Events,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - National Percentile,Tsunami - Number of Events,Tsunami - Annualized Frequency,Tsunami - Exposure - Impacted Area (sq mi),Tsunami - Exposure - Building Value,Tsunami - Exposure - Population,Tsunami - Exposure - Total,Tsunami - Historic Loss Ratio - Total Rating,Tsunami - Expected Annual Loss - Building Value,Tsunami - Expected Annual Loss - Population Equivalence,Tsunami - Expected Annual Loss - Total,Tsunami - Expected Annual Loss Score,Tsunami - Expected Annual Loss Rating,Tsunami - Hazard Type Risk Index Rating
"Adjuntas, Puerto Rico",17954,67.77,72.24,Relatively Low,15.38,12332905.56,"$10,520,649.92",1812255,97.34,86.09,Very High,0.44,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,21,67.77,"$1,824,739,718.26",17953,Very High,"$7,537,980.58",346144,$0.00,7884124.88,84,Relatively Moderate,96.24,7,0.21,"$128,786,414.79",890,10334471440,$0.00,10463257855,Relatively Moderate,"$1,570,894.57",50081,$0.00,1620975.6,79.98,Relatively Moderate,97.52,0,67.77,"$1,824,762,681.00",17954,$0.00,2.10091E+11,Relatively Moderate,"$3,304.13",4808,$0.00,8112.78,4.56,Very Low,5.06,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Aguada, Puerto Rico",38125,46,90.44,Relatively Moderate,82.05,41272884.66,"$35,768,141.92",5504742,99.75,79.41,Relatively High,0.19,0.3,"$153,916,902.71",1003,11636486206,11790403109,Relatively Moderate,"$243,489.10",243854.35,60,Relatively Low,70.26,21,31.26,"$4,957,844,701.02",38124,Very High,"$21,163,497.78",759539,$0.00,21923037.51,91.96,Relatively Moderate,97.19,11,0.99,"$523,306,088.26",3295,38222506457,$0.00,38745812546,Relatively Moderate,"$9,216,004.20",566930,$0.00,9782934.83,96.78,Relatively High,99.35,1,46,"$4,957,845,269.00",38125,$0.00,4.47208E+11,Relatively High,"$6,735.27",7660,$0.00,14396.05,6.23,Very Low,3.91,1,0,1.01,"$665,710,022.17",3973,46760180009,Relatively Moderate,$370.62,161,531.99,48.44,Very Low,Insufficient Data
"Aguadilla, Puerto Rico",54977,76.34,94.55,Relatively Moderate,89.74,79478594.18,"$71,345,966.46",8132627,99.88,98.29,Very High,0.99,0.07,"$102,052,652.71",363,4212603569,4314656222,Very Low,"$3,992.24",4120.93,30.09,Very Low,28.72,20,36.95,"$9,841,022,496.00",54976,Very High,"$41,636,543.99",1087198,$0.00,42723742.11,95.5,Relatively Moderate,96.8,30,0.88,"$414,089,853.19",2098,24344383160,$0.00,24758473014,Relatively Moderate,"$19,425,734.54",505599,$0.00,19931334.42,98.73,Relatively High,99.69,2,76.34,"$9,841,041,650.00",54977,$0.00,6.47574E+11,Relatively High,"$13,306.70",11003,$0.00,24310.34,8.44,Very Low,3.63,2,0,0.39,"$578,758,214.73",2676,31624443004,Very Low,$76.74,17,94,40.62,Very Low,Insufficient Data
"Aguas Buenas, Puerto Rico",24190,30.4,77.68,Relatively Low,29.49,15927943.22,"$13,973,920.29",1954022,94.74,93.11,Very High,0.79,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,21,30.4,"$2,867,086,255.94",24188,Very High,"$11,843,903.16",466355,$0.00,12310258.43,87.25,Relatively Moderate,95.81,9,0.02,"$18,975,306.23",112,1307937319,$0.00,1326912626,Relatively Moderate,"$269,229.57",22957,$0.00,292187.01,44.23,Relatively Low,66.42,0,30.4,"$2,867,318,680.00",24190,$0.00,2.83471E+11,Relatively High,"$5,192.18",6479,$0.00,11671.44,5.58,Very Low,5.52,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Aibonito, Puerto Rico",24637,31.65,79.98,Relatively Low,39.74,18269606.4,"$16,337,497.81",1932108,96.22,81.58,Very High,0.26,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,31.65,"$3,015,771,891.74",24636,Very High,"$12,458,121.96",474981,$0.00,12933103.24,87.59,Relatively Moderate,95.94,9,0.22,"$145,401,978.06",1311,15216411013,$0.00,15361812992,Relatively Moderate,"$2,037,939.78",14134,$0.00,2052074.28,84.37,Relatively Moderate,98.08,1,31.65,"$3,015,894,933.00",24637,$0.00,2.88805E+11,Relatively High,"$5,461.71",6599,$0.00,12061.03,5.74,Very Low,5.71,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
"Añasco, Puerto Rico",25546,45.38,84.59,Relatively Moderate,51.28,24146471.68,"$20,648,405.62",3498066,99.47,79.72,Relatively High,0.21,0.26,"$137,556,918.01",1235,14330628719,14468185637,Relatively Moderate,"$258,206.50",258722.58,60.68,Relatively Low,77.44,22,39.96,"$3,096,363,104.35",25533,Very High,"$13,217,411.53",508687,$0.00,13726098.83,88.28,Relatively Moderate,97.02,6,2.86,"$439,659,427.11",3639,42216679927,$0.00,42656339354,Relatively Moderate,"$4,224,605.44",312769,$0.00,4537374.53,92.76,Relatively Moderate,98.7,5,45.38,"$3,097,503,785.00",25546,$0.00,2.99431E+11,Relatively High,"$4,206.44",5131,$0.00,9337.9,4.81,Very Low,3.72,0,0,0.61,"$368,091,110.90",2781,32631199964,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Arecibo, Puerto Rico",87581,172.92,95.3,Relatively High,93.59,94245343.44,"$83,077,336.16",9243450,99.2,95.59,Very High,0.9,0.31,"$300,181,494.24",726,8429666083,8729847578,Relatively High,"$512,660.90",513150.35,68.03,Relatively Low,68.38,24,128.22,"$11,905,433,607.26",87568,Very High,"$49,181,220.99",1688302,"$1,857,368.71",52726892.24,96.07,Relatively High,95.59,16,5.3,"$1,011,287,190.66",4242,49214210747,"$53,126,349.57",50278624288,Relatively Moderate,"$23,650,207.65",340199,"$65,757.92",24056165.07,98.92,Relatively High,99.63,0,172.92,"$11,906,777,212.00",87581,"$155,705,310.00",1.028E+12,Relatively Low,"$21,570.69",23471,$151.10,45192.97,11.2,Very Low,5.99,2,0,1.75,"$1,510,127,741.24",7075,83582810659,Relatively High,"$2,917.28",523,3440.53,61.72,Relatively Low,Insufficient Data
"Arroyo, Puerto Rico",15822,36.01,72.21,Relatively Low,14.1,12316302.59,"$11,125,176.02",1191126,96.84,85.31,Very High,0.41,0.14,"$105,436,715.72",606,7035156266,7140592982,Relatively Low,"$38,598.95",38915.97,43.42,Very Low,61.03,23,15.18,"$1,988,465,780.88",15818,Very High,"$9,583,386.43",355815,$0.00,9939202.04,85.95,Relatively Moderate,98.31,1,0.28,"$233,573,202.53",1328,15408224252,$0.00,15641797455,Relatively Moderate,"$394,630.70",10666,$0.00,405297.64,50.67,Relatively Low,85.33,0,36.01,"$1,988,737,517.00",15822,$0.00,1.85524E+11,Relatively High,"$2,341.22",2754,$0.00,5095.71,3.23,Very Low,3.35,2,0,0.18,"$131,392,334.47",807,9494640327,Relatively Low,$761.44,218,979.47,50,Relatively Low,Insufficient Data
"Barceloneta, Puerto Rico",22578,31.23,90.13,Relatively Moderate,80.77,39220936.24,"$37,086,221.63",2134714,99.44,77.42,Relatively High,0.14,0.14,"$183,355,624.30",542,6288928526,6472284151,Relatively High,"$372,288.66",372582.49,64.62,Relatively Low,73.5,20,18.98,"$6,291,548,779.61",22577,Very High,"$25,990,321.82",435293,$0.00,26425615.39,93.51,Relatively Moderate,96.5,3,0.68,"$1,329,832,511.57",4659,54044528814,$0.00,55374361326,Relatively Moderate,"$6,192,991.94",112243,$0.00,6305235.11,94.92,Relatively High,98.79,0,31.23,"$6,291,593,552.00",22578,$0.00,2.68196E+11,Relatively High,"$11,393.38",6047,$0.00,17440.72,7.1,Very Low,5.55,0,0,0.36,"$498,123,257.17",1909,22642576749,No Rating,$0.00,0,0,0,No Expected Annual Losses,Insufficient Data
"Barranquitas, Puerto Rico",28931,34.63,79.33,Relatively Low,34.62,17409210.25,"$15,021,587.10",2387623,93.75,88.88,Very High,0.6,0,$0.00,0,0,0,No Rating,$0.00,0,0,No Expected Annual Losses,0,20,34.63,"$3,113,350,157.37",28930,Very High,"$12,861,216.75",557772,$0.00,13418989.23,88.15,Relatively Moderate,96.11,2,0.04,"$36,780,885.78",245,2844769750,$0.00,2881550637,Relatively Moderate,"$96,329.67",3238,$0.00,99568.47,25.87,Very Low,44.2,0,34.63,"$3,113,413,463.00",28931,$0.00,3.38713E+11,Relatively High,"$5,638.13",7749,$0.00,13387.64,5.99,Very Low,5.68,,,,,,,Not Applicable,,,,,Not Applicable,Not Applicable
